               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.035916,            0.015773,           0.0015608,             0.83461,             0.71707,             0.77712,             0.48252,            0.035544,            0.007216,           0.0037731,            0.008416,            0.008416,            0.008416
                  50,            0.035871,            0.016201,           0.0016489,             0.82277,             0.72035,             0.77245,             0.46951,             0.03427,           0.0073728,           0.0030482,            0.008383,            0.008383,            0.008383
                  51,            0.035863,            0.015455,           0.0017245,             0.78904,             0.70364,             0.75765,             0.46777,            0.033973,           0.0076085,           0.0033773,             0.00835,             0.00835,             0.00835
                  52,            0.035975,            0.015887,           0.0016867,             0.82334,             0.72132,             0.77501,             0.47667,            0.034433,           0.0075728,           0.0034013,            0.008317,            0.008317,            0.008317
                  53,            0.035578,            0.015886,             0.00163,              0.8209,             0.74485,             0.79369,             0.49664,            0.034568,           0.0071869,             0.00328,            0.008284,            0.008284,            0.008284
                  54,            0.035633,            0.015692,            0.001476,             0.83586,             0.75314,             0.79873,             0.49023,            0.034027,           0.0071959,           0.0034063,            0.008251,            0.008251,            0.008251
                  55,            0.035596,            0.015665,           0.0017332,             0.81084,             0.72907,             0.77928,             0.46715,             0.03379,           0.0074132,           0.0031274,            0.008218,            0.008218,            0.008218
                  56,             0.03505,            0.015405,           0.0013029,             0.83322,             0.73835,             0.80592,              0.4956,            0.034235,           0.0072069,           0.0032897,            0.008185,            0.008185,            0.008185
                  57,            0.034709,            0.015476,           0.0015586,             0.81192,             0.71612,             0.77791,             0.47855,            0.033544,            0.007334,           0.0035405,            0.008152,            0.008152,            0.008152
                  58,            0.035107,            0.015554,           0.0013776,             0.82859,             0.74031,             0.78497,             0.47134,            0.033447,           0.0072605,           0.0028829,            0.008119,            0.008119,            0.008119
                  59,            0.034971,            0.015657,           0.0012407,             0.82996,             0.74864,             0.79056,              0.4939,            0.033333,           0.0070512,           0.0034306,            0.008086,            0.008086,            0.008086
                  60,            0.034914,             0.01507,           0.0013877,             0.83905,               0.742,             0.78545,              0.4887,            0.033715,            0.007226,           0.0032277,            0.008053,            0.008053,            0.008053
                  61,             0.03447,             0.01517,           0.0011418,             0.80799,             0.74805,             0.79522,             0.49371,            0.032927,           0.0070865,           0.0026833,             0.00802,             0.00802,             0.00802
                  62,            0.034375,            0.014964,           0.0012766,             0.81668,              0.7591,             0.78816,             0.49529,            0.032887,           0.0070726,           0.0033966,            0.007987,            0.007987,            0.007987
                  63,            0.033768,             0.01491,           0.0011341,             0.82481,             0.72717,             0.78652,             0.47581,            0.033819,           0.0072221,           0.0040484,            0.007954,            0.007954,            0.007954
                  64,            0.034594,            0.015327,           0.0016441,             0.83702,             0.75262,               0.793,             0.49893,            0.032721,           0.0071876,           0.0036227,            0.007921,            0.007921,            0.007921
                  65,            0.033906,            0.015025,           0.0014593,             0.81161,             0.76724,             0.79366,             0.49321,            0.033016,           0.0071258,           0.0029488,            0.007888,            0.007888,            0.007888
                  66,            0.034457,            0.015319,           0.0013764,             0.79034,             0.73236,             0.78201,             0.47472,            0.034067,           0.0071627,            0.003174,            0.007855,            0.007855,            0.007855
